iter	Passed	Remaining
401	10758	16003
402	10778	15967
403	10803	15938
404	10832	15913
405	10855	15882
406	10877	15848
407	10907	15826
408	10936	15802
409	10965	15779
410	10987	15746
411	11010	15714
412	11036	15686
413	11059	15654
414	11085	15626
415	11110	15597
416	11134	15566
417	11161	15540
418	11189	15516
419	11218	15492
420	11240	15459
421	11266	15431
422	11290	15401
423	11314	15370
424	11340	15343
425	11363	15310
426	11384	15277
427	11406	15244
428	11434	15219
429	11463	15195
430	11493	15173
431	11523	15151
432	11545	15118
433	11570	15089
434	11592	15056
435	11619	15030
436	11642	14999
437	11666	14968
438	11695	14946
439	11723	14920
440	11748	14892
441	11774	14864
442	11796	14832
443	11819	14800
444	11845	14773
445	11869	14743
446	11892	14713
447	11918	14685
448	11952	14667
449	11979	14641
450	12004	14613
451	12027	14582
452	12053	14554
453	12074	14521
454	12099	14492
455	12123	14463
456	12144	14430
457	12171	14404
458	12199	14379
459	12220	14345
460	12247	14319
461	12271	14290
462	12298	14264
463	12322	14234
464	12347	14205
465	12371	14177
466	12401	14153
467	12429	14129
468	12450	14095
469	12473	14065
470	12496	14035
471	12518	14003
472	12540	13972
473	12564	13942
474	12588	13913
475	12619	13891
476	12650	13870
477	12678	13845
478	12701	13815
479	12724	13784
480	12747	13754
481	12770	13724
482	12792	13692
483	12814	13661
484	12845	13640
485	12870	13611
486	12892	13580
487	12914	13549
488	12938	13521
489	12961	13490
490	12986	13462
491	13007	13430
492	13032	13402
493	13061	13379
494	13086	13351
495	13109	13320
496	13131	13290
497	13155	13260
498	13176	13229
499	13199	13199
500	13223	13170
501	13248	13142
502	13276	13118
503	13304	13093
504	13331	13067
505	13358	13041
506	13380	13011
507	13406	12984
508	13429	12954
509	13454	12926
510	13477	12897
511	13501	12869
512	13528	12842
513	13558	12820
514	13587	12795
515	13614	12769
516	13642	12744
517	13667	12717
518	13690	12688
519	13718	12663
520	13743	12635
521	13769	12608
522	13799	12585
523	13833	12566
524	13862	12542
525	13893	12519
526	13925	12498
527	13953	12473
528	13985	12451
529	14010	12424
530	14036	12397
531	14062	12370
532	14085	12341
533	14113	12316
534	14145	12294
535	14174	12270
536	14202	12245
537	14229	12219
538	14253	12190
539	14276	12161
540	14298	12131
541	14321	12102
542	14345	12073
543	14371	12046
544	14399	12021
545	14426	11995
546	14460	11975
547	14484	11947
548	14505	11916
549	14526	11885
550	14552	11858
551	14574	11828
552	14605	11805
553	14631	11779
554	14659	11754
555	14694	11734
556	14724	11710
557	14756	11689
558	14784	11663
559	14806	11634
560	14834	11608
561	14860	11581
562	14886	11555
563	14911	11527
564	14936	11499
565	14965	11474
566	14995	11451
567	15026	11428
568	15053	11402
569	15081	11377
570	15107	11350
571	15136	11326
572	15160	11297
573	15188	11272
574	15213	11244
575	15241	11219
576	15272	11196
577	15301	11171
578	15328	11145
579	15351	11116
580	15378	11090
581	15401	11061
582	15437	11041
583	15467	11017
584	15492	10990
585	15515	10961
586	15539	10933
587	15569	10908
588	15599	10885
589	15629	10861
590	15655	10834
591	15680	10806
592	15713	10784
593	15740	10758
594	15767	10732
595	15793	10705
596	15821	10679
597	15849	10654
598	15883	10632
599	15914	10609
600	15941	10583
601	15968	10557
602	15996	10531
603	16022	10504
604	16048	10477
605	16075	10452
606	16102	10425
607	16126	10397
608	16155	10372
609	16184	10347
610	16218	10325
611	16251	10303
612	16274	10274
613	16297	10245
614	16319	10216
615	16342	10187
616	16366	10159
617	16390	10131
618	16415	10103
619	16439	10075
620	16461	10046
621	16485	10018
622	16511	9991
623	16537	9964
624	16560	9936
625	16583	9907
626	16605	9878
627	16629	9850
628	16653	9822
629	16674	9793
630	16699	9765
631	16727	9739
632	16753	9713
633	16783	9688
634	16807	9661
635	16831	9633
636	16855	9604
637	16879	9577
638	16905	9550
639	16930	9523
640	16952	9494
641	16974	9465
642	17001	9439
643	17033	9416
644	17062	9391
645	17085	9362
646	17106	9333
647	17129	9304
648	17153	9277
649	17178	9250
650	17201	9221
651	17226	9194
652	17250	9166
653	17278	9141
654	17305	9115
655	17331	9088
656	17351	9058
657	17374	9030
658	17397	9002
659	17419	8973
660	17443	8946
661	17466	8917
662	17490	8890
663	17513	8862
664	17542	8837
665	17569	8811
666	17593	8783
667	17620	8757
668	17640	8728
669	17662	8699
670	17683	8670
671	17704	8641
672	17727	8613
673	17750	8585
674	17772	8556
675	17794	8528
676	17818	8501
677	17842	8474
678	17867	8447
679	17894	8420
680	17926	8397
681	17955	8372
682	17982	8346
683	18012	8321
684	18039	8295
685	18068	8270
686	18095	8244
687	18124	8219
688	18148	8191
689	18176	8166
690	18203	8140
691	18227	8113
692	18250	8084
693	18276	8058
694	18299	8030
695	18323	8003
696	18347	7976
697	18379	7952
698	18407	7926
699	18432	7899
700	18455	7871
701	18479	7844
702	18504	7817
703	18527	7790
704	18555	7764
705	18585	7739
706	18616	7715
707	18645	7689
708	18669	7662
709	18694	7635
710	18720	7609
711	18744	7582
712	18768	7554
713	18791	7527
714	18816	7500
715	18842	7473
