iter	Logloss
0	0.6161611963
1	0.5628356336
2	0.5260228182
3	0.4992914991
4	0.4779738578
5	0.4614863048
6	0.4495984985
7	0.4402522239
8	0.4319033927
9	0.4255132978
10	0.4210582123
11	0.415835567
12	0.4124373907
13	0.4089680594
14	0.4064521441
15	0.404829423
16	0.403090685
17	0.4015585775
18	0.4002342056
19	0.3990160844
20	0.3974996581
21	0.3964478432
22	0.3956312562
23	0.3946511431
24	0.3934824714
25	0.3925186203
26	0.3915437433
27	0.3908760445
28	0.3903464701
29	0.3896279532
30	0.3886649523
31	0.3878000559
32	0.3871324206
33	0.3862051448
34	0.3857039386
35	0.3851937886
36	0.3847221873
37	0.3838913435
38	0.3833105129
39	0.3827544481
40	0.3818768392
41	0.3810180273
42	0.3805821833
43	0.3796172795
44	0.3791218244
45	0.3786845611
46	0.3782110174
47	0.3774532133
48	0.3769645421
49	0.3765618983
50	0.3761954942
51	0.3759241494
52	0.3755083559
53	0.374686518
54	0.3739979698
55	0.3737234797
56	0.3731944578
57	0.3726494755
58	0.3720031307
59	0.3716973758
60	0.3712013048
61	0.3707763308
62	0.370280439
63	0.3696893844
64	0.3691025061
65	0.368250717
66	0.3676845874
67	0.3672021392
68	0.3666109676
69	0.3663655341
70	0.3659365252
71	0.3654788212
72	0.3650483717
73	0.3647516039
74	0.3644728834
75	0.3638163461
76	0.3633424514
77	0.3627204404
78	0.3622680722
79	0.3616169317
80	0.3611081724
81	0.360877233
82	0.360650251
83	0.3602188809
84	0.3598642857
85	0.3593496029
86	0.3589301182
87	0.3583607277
88	0.3578489296
89	0.3576674814
90	0.3572337186
91	0.3568275481
92	0.3563042759
93	0.3558464109
94	0.3554902961
95	0.3552219145
96	0.3547601502
97	0.3544433344
98	0.3539518972
99	0.353470763
100	0.3531147527
101	0.3528263977
102	0.3524166069
103	0.3518746861
104	0.3513573144
105	0.3509246272
106	0.3503339208
107	0.349834853
108	0.3494172899
109	0.3491466884
110	0.3486860615
111	0.348356906
112	0.3480029108
113	0.3475751985
114	0.3472471322
115	0.3470552803
116	0.3467533001
117	0.346540084
118	0.3461491356
119	0.3460029575
120	0.345693922
121	0.345226746
122	0.3449747453
123	0.3444836945
124	0.3440998949
125	0.3438005263
126	0.3435782106
127	0.3432152835
128	0.3429709434
129	0.3426211504
130	0.3421096
131	0.3415875134
132	0.3413415089
133	0.3409303165
134	0.3406921986
135	0.3403429689
136	0.3399259895
137	0.3393620209
138	0.3389577165
139	0.3386470959
140	0.3384574982
141	0.3379722132
142	0.3376237697
143	0.33734625
144	0.3369480762
145	0.3366473895
146	0.3364823302
147	0.3361826299
148	0.3359562409
149	0.3356237255
150	0.3350059301
151	0.3346761756
152	0.3345192031
153	0.3340498679
154	0.3335817868
155	0.3330814694
156	0.332903151
157	0.3325840911
158	0.332224967
159	0.3318389308
160	0.3313026952
161	0.3308976825
162	0.3306294738
163	0.3302862421
164	0.3299145773
165	0.329722731
166	0.3294129744
167	0.3290748857
168	0.3285620331
169	0.3282287972
170	0.3279403485
171	0.3276781004
172	0.327449293
173	0.3272546581
174	0.3270871678
175	0.3266668758
176	0.3264016288
177	0.326021501
178	0.32561395
179	0.3253673695
180	0.3249025827
181	0.3246138666
182	0.3242466852
183	0.3239960992
184	0.3236329321
185	0.32347216
186	0.3232064909
187	0.3230469764
188	0.322942015
189	0.3227017988
190	0.3223841236
191	0.3221417954
192	0.3218041586
193	0.3214700224
194	0.3213333569
195	0.3211693476
196	0.3208851362
197	0.3207119212
198	0.32045113
199	0.3200580878
200	0.3197562295
201	0.3195066625
202	0.3191801678
203	0.3189176638
204	0.3186554985
205	0.3184710279
206	0.3182339673
207	0.3179800945
208	0.3177556068
209	0.3175961551
210	0.317451059
211	0.3171541635
212	0.3169964054
213	0.316831131
214	0.3166101121
215	0.3163451045
216	0.3160406081
217	0.3157555429
218	0.3155269919
219	0.3151646017
220	0.3148839384
221	0.3145847036
222	0.3142017771
223	0.3139366481
224	0.3137048058
225	0.3134061916
226	0.3133291233
227	0.3131109958
228	0.3128544265
229	0.3126549184
230	0.3124427893
231	0.3122497994
232	0.3119514253
233	0.3117025961
234	0.3115311651
235	0.3113399019
236	0.3110469018
237	0.3107359195
238	0.3105019232
239	0.3102393763
240	0.3100471762
241	0.3098861403
242	0.3097854095
243	0.3096186402
244	0.3094334303
245	0.3091978825
246	0.3088353226
247	0.3086283333
248	0.3083677336
249	0.3079894538
250	0.3077138683
251	0.3076064383
252	0.3074414898
253	0.3072703146
254	0.3071110742
255	0.30697655
256	0.3067162115
257	0.306503675
258	0.3062829044
259	0.3060529339
260	0.3058942565
261	0.3057768403
262	0.3054359788
263	0.3052147859
264	0.3050169244
265	0.3048723367
266	0.3046812025
267	0.3043517482
268	0.3041903803
269	0.3039975637
270	0.3038019451
271	0.3036865697
272	0.3034051378
273	0.3032264209
274	0.3029722406
275	0.3027954486
276	0.3026107439
277	0.3023464742
278	0.3020901845
279	0.3018804855
280	0.3016802992
281	0.3014049878
282	0.301137991
283	0.300977231
284	0.3007236749
285	0.3005137215
286	0.3002765491
287	0.2999773458
288	0.2997890696
289	0.2995117983
290	0.2993932118
291	0.2992277812
292	0.2990495135
293	0.2988439105
294	0.2985217499
295	0.298197245
296	0.2979962664
297	0.2978981559
298	0.2977690799
299	0.2975737804
300	0.297380737
301	0.2972124517
302	0.2970819091
303	0.2969118787
304	0.2967751705
305	0.2965256242
306	0.2964232558
307	0.2962893799
308	0.2961586742
309	0.296015117
310	0.2959007587
311	0.2957463996
312	0.2956019161
313	0.2954761782
314	0.2954065307
315	0.2952241936
316	0.2950199738
317	0.2949238738
318	0.2946797589
319	0.2944279308
320	0.2943187541
321	0.2940418831
322	0.293959557
323	0.2938232476
324	0.2937606174
325	0.29370066
326	0.2935524098
327	0.2932972475
328	0.2932491481
329	0.2930926311
330	0.2929705711
331	0.292901286
332	0.2926828661
333	0.2926324225
334	0.2924197485
335	0.2922322148
336	0.2921008452
337	0.2919543465
338	0.2917614433
339	0.2915974723
340	0.2914143275
341	0.2913001082
342	0.2911955764
343	0.2910465341
344	0.2908340282
345	0.2906588238
346	0.2905687592
347	0.2903420341
348	0.2902373645
349	0.290066889
350	0.2899623646
351	0.2898101095
352	0.289615357
353	0.2894316807
354	0.2892330786
355	0.2890700103
356	0.2889222349
357	0.2886585422
358	0.288574397
359	0.2884750317
360	0.2884311197
361	0.2883385026
362	0.2882405733
363	0.288142282
364	0.2879663066
365	0.2878185812
366	0.2877101312
367	0.2875726329
368	0.2875010993
369	0.2872701593
370	0.2872104349
371	0.2870106352
372	0.2868038894
373	0.2866730336
374	0.2865701483
375	0.2864382054
376	0.2862983399
377	0.2862082956
378	0.2861093645
379	0.285915804
380	0.2857962263
381	0.2856837364
382	0.2855907704
383	0.2854212884
384	0.2852820813
385	0.2851371677
386	0.2849282071
387	0.284796316
388	0.2846610702
389	0.2845561591
390	0.2844584536
391	0.284353873
392	0.2842673862
393	0.2841831956
394	0.2840209812
395	0.2838881815
396	0.2837351719
397	0.2835167862
398	0.2832906923
399	0.2830454814
400	0.2829102334
401	0.2828259918
402	0.2827407553
403	0.2826247874
404	0.2824957944
405	0.2823842443
406	0.282316366
407	0.2821146168
408	0.2819771977
409	0.2818822518
410	0.2817529842
411	0.2816294014
412	0.28150093
413	0.2814307108
414	0.2812793684
415	0.281183972
416	0.2809650522
417	0.2807911477
418	0.2806563698
419	0.2805171465
420	0.2804524582
421	0.2803419921
422	0.2801872347
423	0.2801311255
424	0.279958966
425	0.2798716766
426	0.2798302189
427	0.2797761798
428	0.2796974484
429	0.2796438218
430	0.2795952285
431	0.2794840464
432	0.2794161405
433	0.2792216377
434	0.2791717874
435	0.2790033879
436	0.2789459788
437	0.278839795
438	0.2787265567
439	0.2786678874
440	0.2785698204
441	0.2784006062
442	0.2782610075
443	0.2781880236
444	0.2780316301
445	0.2779475054
446	0.2778416648
447	0.2776797048
448	0.2775546841
449	0.2774041503
450	0.2772881299
451	0.2771576743
452	0.2770535043
453	0.2769268816
454	0.2768433017
455	0.2766572527
456	0.2764892386
457	0.2763022338
458	0.2761379027
459	0.2760078703
460	0.2758639494
461	0.2757868191
462	0.2756642997
463	0.2755504337
464	0.2753989004
465	0.2753110666
466	0.2752599028
467	0.2751677457
468	0.2751031223
469	0.2749912482
470	0.2748199618
471	0.2746500041
472	0.27456931
473	0.2744232068
474	0.2743120376
475	0.2742328363
476	0.2741089691
477	0.2740013261
478	0.2739072515
